Description,Price (Rs.),Rating,Review,URL
TOSHIBA GR-A28INU(UK) 252 L 2-Star Inverter Frost-Free Double Door Refrigerators (Black Uni Glass),"20,990",4.5 out of 5 stars,2,https://www.amazon.in/TOSHIBA-GR-A28INU-UK-Frost-Free-Refrigerators/dp/B08CMSWTRX/ref=sr_1_147?dchild=1&keywords=refrigerator&qid=1613575494&sr=8-147
"LG 190 L 4 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201AHCY, Hazel Charm)","17,499",4.6 out of 5 stars,14,https://www.amazon.in/LG-Inverter-Direct-Cool-Refrigerator-GL-D201AHCY/dp/B084Y9HM4J/ref=sr_1_148?dchild=1&keywords=refrigerator&qid=1613575494&sr=8-148
"Whirlpool 190 L 2 Star Direct-Cool Single Door Refrigerator (WDE 205 ROY 2S, Sapphire Fiesta) Toughened Glass Shelves with Base Drawer","12,990",4.2 out of 5 stars,814,https://www.amazon.in/Whirlpool-Refrigerator-WDE-205-ROY/dp/B083KW4D5N/ref=sr_1_149?dchild=1&keywords=refrigerator&qid=1613575494&sr=8-149
"AISEN 1 Star (2020) Direct Cool Single Door Refrigerator (100 L, Hairline Grey)AR-D1052SG.HG","8,990",3.2 out of 5 stars,51,https://www.amazon.in/AISEN-Direct-Refrigerator-Hairline-AR-D1052SG-HG/dp/B07WHBVWC6/ref=sr_1_150?dchild=1&keywords=refrigerator&qid=1613575494&sr=8-150
"Whirlpool 190 L 2 Star Direct-Cool Single Door Refrigerator (WDE 205 CLS PLUS 2S, Argyle Black)","11,490",2.4 out of 5 stars,3,https://www.amazon.in/Whirlpool-WDE-205-CLS-PLUS/dp/B0853G8NDJ/ref=sr_1_151?dchild=1&keywords=refrigerator&qid=1613575494&sr=8-151
"Whirlpool 190 L 3 Star Direct-Cool Single Door Refrigerator (WDE 205 ROY 3S, Wine Fiesta, Toughened Glass Shelves) with Base Drawer","13,490",4.1 out of 5 stars,92,https://www.amazon.in/Whirlpool-Refrigerator-WDE-205-ROY/dp/B083KSQ9N9/ref=sr_1_152?dchild=1&keywords=refrigerator&qid=1613575494&sr=8-152
"Whirlpool 200 L 3 Star Direct-Cool Single Door Refrigerator (215 ICEMAGIC PRO PRM 3S, Neo Dutch)","14,215",4.1 out of 5 stars,11,https://www.amazon.in/Whirlpool-Direct-Cool-Refrigerator-215-PRM/dp/B0851VNY9Z/ref=sr_1_153?dchild=1&keywords=refrigerator&qid=1613575494&sr=8-153
"LG 260 L 3 Star Inverter linear Frost-Free Double Door Refrigerator (GL-T292RES3, Ebony Sheen, Convertible Plus)","24,966",3.0 out of 5 stars,2,https://www.amazon.in/LG-Frost-Free-Refrigerator-GL-T292RES3-Convertible/dp/B088R4MJRR/ref=sr_1_154?dchild=1&keywords=refrigerator&qid=1613575494&sr=8-154
"Godrej 205C 33 TAI Glass Direct Cool 3 Star Inverter Refrigerator (Blue, 190 ltrs)","13,900",,,https://www.amazon.in/Godrej-205C-33-TAI-Refrigerator/dp/B088BDLL29/ref=sr_1_155?dchild=1&keywords=refrigerator&qid=1613575494&sr=8-155
"Whirlpool 265 L 2 Star Inverter Frost-Free Double Door Refrigerator (INTELLIFRESH CNV 278 2S German Steel, Convertible)","23,490",3.9 out of 5 stars,58,https://www.amazon.in/Whirlpool-Refrigerator-INTELLIFRESH-CNV-278/dp/B083JPJSYW/ref=sr_1_156?dchild=1&keywords=refrigerator&qid=1613575494&sr=8-156
ISHIKA TRADING COMPANY White Plastic Freezer Door for Godrej Edge Pro Refrigerator (Standard),693,5.0 out of 5 stars,1,https://www.amazon.in/ISHIKA-TRADING-COMPANY-Refrigerator-Standard/dp/B07VRYVFTH/ref=sr_1_157?dchild=1&keywords=refrigerator&qid=1613575494&sr=8-157
"Whirlpool 190 L 3 Star Direct-Cool Single Door Refrigerator (205 IMPC ROY 3S SAPPHIRE RADIANCE, Sapphire Radiance)","14,403",3.3 out of 5 stars,6,https://www.amazon.in/Whirlpool-205-IMPC-SAPPHIRE-RADIANCE/dp/B083M3JYGW/ref=sr_1_158?dchild=1&keywords=refrigerator&qid=1613575494&sr=8-158
"LG 190 L 4 Star Inverter Direct-Cool Single Door Refrigerator (GL-B201ABCY, Blue Charm)","15,990",3.8 out of 5 stars,21,https://www.amazon.in/LG-Inverter-Direct-Cool-Refrigerator-GL-B201ABCY/dp/B084Y87BYN/ref=sr_1_159?dchild=1&keywords=refrigerator&qid=1613575494&sr=8-159
"LG 235 L 4 Star Inverter Direct-Cool Single Door Refrigerator (GL-D241ASCY, Scarlet Charm)","20,590",4.2 out of 5 stars,270,https://www.amazon.in/LG-Inverter-Direct-Cool-Refrigerator-GL-D241ASCY/dp/B084YBZ5YV/ref=sr_1_160?dchild=1&keywords=refrigerator&qid=1613575494&sr=8-160
"LG 235 L 4 Star Inverter Direct-Cool Single Door Refrigerator (GL-D241ABCY, Blue Charm)","20,590",4.1 out of 5 stars,209,https://www.amazon.in/LG-Inverter-Direct-Cool-Refrigerator-GL-D241ABCY/dp/B084YGPX19/ref=sr_1_161?dchild=1&keywords=refrigerator&qid=1613575498&sr=8-161
"LG 235 L 3 Star Direct-Cool Single Door Refrigerator (GL-D241APZD, Shiny Steel)","17,490",4.3 out of 5 stars,209,https://www.amazon.in/LG-Direct-Cool-Single-Refrigerator-GL-D241APZD/dp/B07W7B94GZ/ref=sr_1_162?dchild=1&keywords=refrigerator&qid=1613575498&sr=8-162
(CERTIFIED REFURBISHED) Renewed Samsung 212 L 3 Star Inverter Direct Cool Single Door Refrigerator (Elegant Inox (Light Doi Metal)),"13,252",,,https://www.amazon.in/CERTIFIED-REFURBISHED-Samsung-Inverter-Refrigerator/dp/B08CDWQRTH/ref=sr_1_163?dchild=1&keywords=refrigerator&qid=1613575498&sr=8-163
"LG 889 L Inverter Linear Door-in-Door Side by Side Refrigerator (GR-J31FTUHL, Saffiano, Multi Air Flow Cooling)","2,20,624",3.0 out of 5 stars,4,https://www.amazon.in/LG-Frost-Free-Multi-Door-Refrigerator-GR-J31FTUHL/dp/B07GDRNBB3/ref=sr_1_164?dchild=1&keywords=refrigerator&qid=1613575498&sr=8-164
"LG 235 L 4 Star Inverter Direct Cool Single Door Refrigerator (GL-D241ARGY, Ruby Glow)","21,490",4.1 out of 5 stars,100,https://www.amazon.in/LG-Inverter-Direct-Refrigerator-GL-D241ARGY/dp/B07NDFJH3V/ref=sr_1_165?dchild=1&keywords=refrigerator&qid=1613575498&sr=8-165
"Whirlpool 215 L 5 Star Inverter Direct-Cool Single Door Refrigerator (230 IMPRO ROY 5S INV ALPHA STEEL, Alpha Steel)","17,490",3.3 out of 5 stars,5,https://www.amazon.in/Whirlpool-230-IMPRO-ALPHA-STEEL/dp/B087MFX4Z5/ref=sr_1_166?dchild=1&keywords=refrigerator&qid=1613575498&sr=8-166
"Samsung 198 L 5 Star Inverter Direct-Cool Single Door Refrigerator (RR21T2H2W9R/HL, Paradise Purple, Base Stand with Drawer)","17,900",4.3 out of 5 stars,26,https://www.amazon.in/Samsung-Direct-Cool-Refrigerator-RR21T2H2W9R-HL/dp/B08445QGNJ/ref=sr_1_167?dchild=1&keywords=refrigerator&qid=1613575498&sr=8-167
"Whirlpool 200 L 4 Star Inverter Direct-Cool Single Door Refrigerator (215 IMPRO PRM 4S INV COOL ILLUSIA, Cool Illusia)","15,240",1.0 out of 5 stars,3,https://www.amazon.in/Whirlpool-215-IMPRO-COOL-ILLUSIA/dp/B08DZ631FN/ref=sr_1_168?dchild=1&keywords=refrigerator&qid=1613575498&sr=8-168
"LG 190 L 3 Star Direct-Cool Single Door Refrigerator (GL-B201RPZD, Shiny Steel)","12,530",4.3 out of 5 stars,289,https://www.amazon.in/LG-Direct-Cool-Single-Refrigerator-GL-B201RPZD/dp/B084Y86B9Z/ref=sr_1_169?dchild=1&keywords=refrigerator&qid=1613575498&sr=8-169
"Haier 262 L 3 Star Inverter Direct-Cool Single Door Refrigerator (HRD-2623BKS-E, Black Brushline)","17,900",3.9 out of 5 stars,8,https://www.amazon.in/Haier-Direct-Cool-Refrigerator-HRD-2623BKS-Brushline/dp/B088PG3L6S/ref=sr_1_171?dchild=1&keywords=refrigerator&qid=1613575498&sr=8-171
LG GL-N292BDSY 260 L Frost Free Refrigerator with Smart Inverter Compressor,"20,700",3.0 out of 5 stars,1,https://www.amazon.in/LG-GL-N292BDSY-Refrigerator-Inverter-Compressor/dp/B08BWN4454/ref=sr_1_172?dchild=1&keywords=refrigerator&qid=1613575498&sr=8-172
"Samsung 230 L 3 Star Inverter Direct-Cool Single Door Refrigerator (RR24T285Y6U/NL, Mystic Overlay Blue)","19,350",2.4 out of 5 stars,5,https://www.amazon.in/Samsung-Direct-Cool-Refrigerator-RR24T285Y6U-NL/dp/B0845BJG15/ref=sr_1_173?dchild=1&keywords=refrigerator&qid=1613575498&sr=8-173
"LG 190 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-B201ARGZ, Ruby Glow)","16,790",3.1 out of 5 stars,5,https://www.amazon.in/LG-Inverter-Direct-Cool-Refrigerator-GL-B201ARGZ/dp/B084S89LVZ/ref=sr_1_174?dchild=1&keywords=refrigerator&qid=1613575498&sr=8-174
"Samsung 255 L 3 Star Inverter Direct Cool Single Door Refrigerator(RR26T389YUT/HL, Pebble Blue, Base Stand with Drawer)","19,690",4.2 out of 5 stars,439,https://www.amazon.in/Samsung-Inverter-Refrigerator-RR26T389YUT-HL/dp/B08346C9R4/ref=sr_1_175?dchild=1&keywords=refrigerator&qid=1613575498&sr=8-175
"Whirlpool 215 L 3 Star Inverter Direct-Cool Single Door Refrigerator with Moisture Lock-In Technology (230 ICEMAGIC FRESH PRM 3S INV, Sapphire Radiance)","15,740",3.9 out of 5 stars,46,https://www.amazon.in/Whirlpool-Refrigerator-230-PRM-INV/dp/B083KSWRFW/ref=sr_1_176?dchild=1&keywords=refrigerator&qid=1613575498&sr=8-176
"Samsung 230 L 3 Star Inverter Direct-Cool Single Door Refrigerator (RR24T275YCU/NL, Camellia Blue)","19,800",,,https://www.amazon.in/Samsung-Direct-Cool-Refrigerator-RR24T275YCU-NL/dp/B0845BJRRV/ref=sr_1_177?dchild=1&keywords=refrigerator&qid=1613575501&sr=8-177
"Godrej 210 L 4 Star Inverter Direct-Cool Single Door Refrigerator (RD EDGEPRO 225D 43 TAI AQ WN, Aqua Wine, Inverter Compressor)","17,490",5.0 out of 5 stars,7,https://www.amazon.in/Godrej-Refrigerator-EDGEPRO-225D-TAI/dp/B086169MGG/ref=sr_1_178?dchild=1&keywords=refrigerator&qid=1613575501&sr=8-178
Whirlpool DC Refrigerator 215 IMPC Roy 3S Sapphire Abyss (71629),"13,990",,,https://www.amazon.in/Whirlpool-IMPC-Sapphire-Abyss-71629/dp/B08FXCFJ8J/ref=sr_1_179?dchild=1&keywords=refrigerator&qid=1613575501&sr=8-179
"Whirlpool 340 L 3 Star Inverter Frost-Free Double Door Refrigerator (IF INV CNV 355 COOL ILLUSIA 3S, Cool Illusia Steel)","31,490",3.9 out of 5 stars,221,https://www.amazon.in/Whirlpool-INV-CNV-COOL-ILLUSIA/dp/B087JXCWZC/ref=sr_1_180?dchild=1&keywords=refrigerator&qid=1613575501&sr=8-180
"Samsung 253L 2 Star Inverter Frost Free Double Door Refrigerator (RT28T3122S8/HL, Elegant Inox, Base Stand with Drawer)","22,190",4.2 out of 5 stars,26,https://www.amazon.in/Samsung-Inverter-Refrigerator-RT28T3122S8-HL/dp/B08345P949/ref=sr_1_181?dchild=1&keywords=refrigerator&qid=1613575501&sr=8-181
"Whirlpool 215 L 5 Star Inverter Direct-Cool Single Door Refrigerator (230 ICEMAGIC PRO PRM 5S INV, Wine Flume)","17,740",3.7 out of 5 stars,69,https://www.amazon.in/Whirlpool-Refrigerator-230-PRM-INV/dp/B086H4Q5ZG/ref=sr_1_182?dchild=1&keywords=refrigerator&qid=1613575501&sr=8-182
"Samsung 192 L 3 Star Direct-Cool Single Door Refrigerator (RR20T182YUT/HL, Pebble Blue)","15,290",,,https://www.amazon.in/Samsung-Direct-Cool-Refrigerator-RR20T182YUT-HL/dp/B0845FV8JD/ref=sr_1_183?dchild=1&keywords=refrigerator&qid=1613575501&sr=8-183
"LG 260 L 3 Star Inverter Linear Frost-Free Double Door Refrigerator (GL-T292SRG3, Ruby Glow, Convertible)","27,127",4.3 out of 5 stars,6,https://www.amazon.in/LG-Frost-Free-Refrigerator-GL-T292SRG3-Convertible/dp/B084S8B6X8/ref=sr_1_184?dchild=1&keywords=refrigerator&qid=1613575501&sr=8-184
"Whirlpool 200 L 4 Star Inverter Direct-Cool Single Door Refrigerator (215 ICEMAGIC PRO PRM 4S, Wine Hibiscus)","15,866",,,https://www.amazon.in/Whirlpool-Direct-Cool-Refrigerator-215-PRM/dp/B08DZJXP9Y/ref=sr_1_185?dchild=1&keywords=refrigerator&qid=1613575501&sr=8-185
"LG 284 L 2 Star Inverter Frost-Free Double Door Refrigerator (GL-T302SDSY, Dazzle Steel)","26,990",4.7 out of 5 stars,7,https://www.amazon.in/LG-Inverter-Frost-Free-Refrigerator-GL-T302SDSY/dp/B0854W6VG8/ref=sr_1_186?dchild=1&keywords=refrigerator&qid=1613575501&sr=8-186
"Godrej 328 L 2 Star Inverter Frost-Free Double Door Refrigerator (RF EON 328B 25 HCIT ST RH, Steel Rush, 4 in 1 Convertible)","28,790",3.8 out of 5 stars,121,https://www.amazon.in/Godrej-Refrigerator-EON-328B-HCIT/dp/B08CS64H5Z/ref=sr_1_187?dchild=1&keywords=refrigerator&qid=1613575501&sr=8-187
"Whirlpool 292 L 3 Star Inverter Frost-Free Double Door Refrigerator (INTELLIFRESH INV CNV 305 3S, Black Sparkle, Convertible)","27,990",4.1 out of 5 stars,331,https://www.amazon.in/Whirlpool-Refrigerator-INV-CNV-305/dp/B083JNN628/ref=sr_1_188?dchild=1&keywords=refrigerator&qid=1613575501&sr=8-188
"Whirlpool 265 L 2 Star Frost-Free Double Door Refrigerator with Glass Door (NEOFRESH GD PRM 278 2S, Crystal Black)","23,490",4.0 out of 5 stars,37,https://www.amazon.in/Whirlpool-Frost-Free-Refrigerator-PRM-278/dp/B084XMM69M/ref=sr_1_189?dchild=1&keywords=refrigerator&qid=1613575501&sr=8-189
"Godrej 210 L 4 Star Inverter Direct-Cool Single Door Refrigerator (RD EDGEPRO 225D 43 TDI RY WN, Ray Wine, Base stand with drawer, Inverter Compressor)","18,490",3.7 out of 5 stars,23,https://www.amazon.in/Godrej-Refrigerator-EDGEPRO-225D-TDI/dp/B08618K5HS/ref=sr_1_190?dchild=1&keywords=refrigerator&qid=1613575501&sr=8-190
"Samsung 192 L 3 Star Inverter Direct Cool Single Door Refrigerator(RR20T172YR2/HL, Star Flower Red)","13,990",4.2 out of 5 stars,41,https://www.amazon.in/Samsung-Inverter-Refrigerator-RR20T172YR2-HL/dp/B08346L2K5/ref=sr_1_191?dchild=1&keywords=refrigerator&qid=1613575501&sr=8-191
"LG 260 L 2 Star Inverter Frost-Free Double-Door Refrigerator (GL-N292DPOY, Purple Orchid)","22,990",4.2 out of 5 stars,87,https://www.amazon.in/LG-Frost-Free-Double-Door-Refrigerator-GL-N292DPOY/dp/B07PB59T93/ref=sr_1_192?dchild=1&keywords=refrigerator&qid=1613575501&sr=8-192
"Whirlpool 215 L 3 Star Inverter Direct-Cool Single Door Refrigerator (230 IMFR ROY 3S INV WINE AZALEA, Wine Azalea)","17,239",4.7 out of 5 stars,4,https://www.amazon.in/Whirlpool-230-IMFR-WINE-AZALEA/dp/B084W68FX8/ref=sr_1_193?dchild=1&keywords=refrigerator&qid=1613575504&sr=8-193
"LG 215 L 4 Star Inverter Direct-Cool Single Door Refrigerator (GL-D221ABCY, Blue Charm)","18,590",4.0 out of 5 stars,21,https://www.amazon.in/LG-Inverter-Direct-Cool-Refrigerator-GL-D221ABCY/dp/B084TGSM2N/ref=sr_1_195?dchild=1&keywords=refrigerator&qid=1613575504&sr=8-195
"Panasonic 202 L 2 Star Direct-Cool Single Door Refrigerator (NR-AC21SVX1, Purple Floral)","14,990",,,https://www.amazon.in/Panasonic-Direct-Cool-Single-Refrigerator-NR-AC21SVX1/dp/B08436NPKZ/ref=sr_1_196?dchild=1&keywords=refrigerator&qid=1613575504&sr=8-196
"Haier 220 L 3 Star Direct-Cool Single Door Refrigerator (HRD-2203PRB-E, Red Blossom)","16,790",4.0 out of 5 stars,16,https://www.amazon.in/Haier-Direct-Cool-Refrigerator-HRD-2203PRB-Blossom/dp/B0844968V4/ref=sr_1_197?dchild=1&keywords=refrigerator&qid=1613575504&sr=8-197
"Samsung 253L 3 Star Inverter Frost Free Double Door Refrigerator (RT28T3743S8/HL, Elegant Inox, Convertible)","24,990",4.2 out of 5 stars,509,https://www.amazon.in/Samsung-Refrigerator-RT28T3743S8-HL-Convertible/dp/B08346545V/ref=sr_1_198?dchild=1&keywords=refrigerator&qid=1613575504&sr=8-198
"LG 188 L 3 Star Inverter Direct-Cool Single Door Refrigerator (GL-B191KPRX, Peppy Red)","13,289",4.0 out of 5 stars,49,https://www.amazon.in/LG-Inverter-Direct-Cool-Refrigerator-GL-B191KPRX/dp/B07W1KC1JW/ref=sr_1_199?dchild=1&keywords=refrigerator&qid=1613575504&sr=8-199
"Whirlpool 200 L 3 Star Direct-Cool Single Door Refrigerator (215 ICEMAGIC PRO PRM 3S, Purple Mulia)","15,240",3.7 out of 5 stars,11,https://www.amazon.in/Whirlpool-Direct-Cool-Refrigerator-215-PRM/dp/B0851VNY9Y/ref=sr_1_200?dchild=1&keywords=refrigerator&qid=1613575504&sr=8-200
"Godrej Edge Pro 190 Ltr 4 Star Direct Cool Single Door Refrigerator (RD EDGEPRO 205D 43 TDI RY WN, Ray Wine)","15,199",,,https://www.amazon.in/Godrej-Refrigerator-EDGEPRO-205D-TDI/dp/B08L7W2BPB/ref=sr_1_201?dchild=1&keywords=refrigerator&qid=1613575504&sr=8-201
"LG 260 L 3 Star Inverter Linear Frost-Free Double Door Refrigerator (GL-T292SPZ3, Shiny Steel, Convertible)","29,190",4.1 out of 5 stars,137,https://www.amazon.in/LG-Frost-Free-Refrigerator-GL-T292SPZ3-Convertible/dp/B08CNV3XXB/ref=sr_1_203?dchild=1&keywords=refrigerator&qid=1613575504&sr=8-203
"Haier 220 L 3 Star Direct-Cool Single Door Refrigerator (HED-22TKS, Black Brushline)","14,790",3.3 out of 5 stars,22,https://www.amazon.in/Haier-Direct-Cool-Refrigerator-HED-22TKS-Brushline/dp/B084491B1B/ref=sr_1_205?dchild=1&keywords=refrigerator&qid=1613575504&sr=8-205
"LG 270 L 3 Star Inverter Direct-Cool Single Door Refrigerator (GL-B281BSCX, Scarlet Charm)","21,599",4.2 out of 5 stars,95,https://www.amazon.in/LG-Inverter-Direct-Cool-Refrigerator-GL-B281BSCX/dp/B084S8LB1D/ref=sr_1_206?dchild=1&keywords=refrigerator&qid=1613575504&sr=8-206
"LG 284 L 3 Star Inverter Frost-Free Double Door Refrigerator (GL-T302SRG3, Ruby Glow)","29,964",,,https://www.amazon.in/LG-Inverter-Frost-Free-Refrigerator-GL-T302SRG3/dp/B08HWPXF2F/ref=sr_1_207?dchild=1&keywords=refrigerator&qid=1613575504&sr=8-207
"Whirlpool 265 L 3 Star Inverter Frost-Free Double Door Refrigerator (IF INV CNV 278 PURPLE MULIA 3S, Purple Mulia)","26,490",3.8 out of 5 stars,7,https://www.amazon.in/Whirlpool-INV-CNV-PURPLE-MULIA/dp/B088FX9MXQ/ref=sr_1_208?dchild=1&keywords=refrigerator&qid=1613575504&sr=8-208
"Whirlpool 200 L 3 Star ( 2019 ) Direct Cool Single Door Refrigerator (215 IMPWCOOL ROY 3S, Silver Bliss-E)","30,751",4.2 out of 5 stars,264,https://www.amazon.in/Whirlpool-Refrigerator-215-IMPWCOOL-ROY/dp/B07NBXMBRD/ref=sr_1_209?dchild=1&keywords=refrigerator&qid=1613575507&sr=8-209
"Samsung 253 L 2 Star Inverter Frost-Free Double Door Refrigerator (RT28T3032U8/HL, Saffron Blue)","24,500",5.0 out of 5 stars,1,https://www.amazon.in/Samsung-Frost-Free-Refrigerator-RT28T3032U8-HL/dp/B0846DC7G6/ref=sr_1_210?dchild=1&keywords=refrigerator&qid=1613575507&sr=8-210
"Koryo 190 L 3 Star Direct Cool Single Door Refrigerator (KDR215BM3F, Blue)","12,990",,,https://www.amazon.in/Koryo-Direct-Single-Refrigerator-KDR215BM3F/dp/B07RBPDJLG/ref=sr_1_212?dchild=1&keywords=refrigerator&qid=1613575507&sr=8-212
"Whirlpool 215 L 4 Star Inverter Direct-Cool Single Door Refrigerator (230 IMPRO ROY 4S INV ALPHA STEEL, Alpha Steel)","17,990",4.6 out of 5 stars,5,https://www.amazon.in/Whirlpool-230-IMPRO-ALPHA-STEEL/dp/B087MDRQK3/ref=sr_1_213?dchild=1&keywords=refrigerator&qid=1613575507&sr=8-213
"Haier 195 L 3 Star Direct-Cool Single Door Refrigerator (HRD-1953CMO-E, Marine(Blue) Ornate)","13,222",3.3 out of 5 stars,3,https://www.amazon.in/Haier-Direct-Cool-Single-Refrigerator-HRD-1953CMO/dp/B08446VFND/ref=sr_1_214?dchild=1&keywords=refrigerator&qid=1613575507&sr=8-214
